"","iso2c","SI.POV.GINI","SI.POV.UMIC","SP.DYN.LE00.IN","SL.GDP.PCAP.EM.KD","NV.AGR.TOTL.ZS","NV.IND.TOTL.ZS","NV.IND.MANF.ZS","NV.SRV.TOTL.ZS"
"114","PS",34.525,22.05,71.5234827586207,27492.1800618358,9.43747031551741,11.6823630563871,21.0925389134014,58.309761381168
"115","PT",36.46,2.65333333333333,77.6979814970564,64078.9832067066,2.59155092133375,13.1943733590678,21.5757256580668,63.1758586120697
"116","PY",51.1272727272727,29.0909090909091,71.3973448275862,23227.6120104372,13.3795839036135,16.9842512310109,35.1941469039555,44.6002495067949
"117","RO",36.35,24.5083333333333,72.0011858704794,39948.7646567574,10.7354406228659,22.3689001894501,34.5888252877553,45.3538635964505
"118","RS",39.2333333333333,22.8833333333333,73.7670150987224,34738.0259571575,9.8062643271845,18.4834774957225,28.8360354694227,47.3925037950762
"119","RU",39.8291666666667,16.6833333333333,67.749259882254,42703.4949647146,5.40518306764748,13.2947518628656,33.2351121520036,50.7612095358453
"120","RW",47.3,93.46,51.313724137931,2647.40424021699,31.3974355050842,9.83270463022917,17.586154199907,44.8877618493031
"121","SD",34.8,76.8,60.2290344827586,14436.4928481781,32.9996830758943,6.8351511648939,14.6597328905645,40.0029107132033
"122","SE",27.3388888888889,0.9,80.3022035323802,90781.6192127557,1.99553763291039,16.4348038994942,24.4434488534815,61.9044428094419
"123","SI",24.8857142857143,0.192857142857143,77.1716989066443,64186.0236014424,2.48049888728187,20.4279410749005,29.1909662077251,55.3915475158277
"124","SK",26.6076923076923,2.80769230769231,74.1222371740959,50592.9039686346,2.18980126866229,18.8428100186601,30.0898588793357,57.0172521750645
"125","SL",36.6333333333333,94.6,44.3532413793103,4038.94243743633,50.2164981382754,3.66985430490594,17.056144675749,28.5461373179929
"126","SN",43.24,91.58,61.1848620689655,10224.3315129683,15.5291691910702,16.5532921808898,21.9659826510133,51.8751371838399
"127","SR",57.6,55.7,69.1339655172414,45521.8237907407,9.93512310014348,14.36624517274,28.8007796774709,46.4691885908432
"128","ST",39.7333333333333,89.9,63.8991034482759,11947.5836886852,11.0019515377184,6.93352995950513,14.9060753587412,70.7963779752552
"129","SV",46.5208333333333,42.9166666666667,69.5385517241379,18546.1247213039,8.12196256376428,17.619234236287,25.5875769791434,58.0905690885493
"130","SZ",54.925,84.2,51.4888275862069,29451.1976672762,10.2021029268907,32.2354205862484,37.2957137052501,45.0593350830243
"131","TD",41.55,91.05,49.4496896551724,3709.14274747753,42.8460295751903,5.82870385309063,14.2979001579394,39.5844351022032
"132","TG",43.7666666666667,91.0666666666667,56.2078275862069,2971.87799986694,32.7429013468744,7.93413531304424,17.6828593527858,42.3355771372788
"133","TH",40.4409090909091,28.2863636363636,72.5530344827586,22650.6273801839,9.65533521641762,27.9823887291713,37.2002677766788,53.5450800924986
"134","TJ",32.1333333333333,74.5333333333333,64.6180689655172,9121.2689117525,24.2912299821577,17.6170631162825,29.8721038018424,36.8941223283143
"135","TL",30.8,92.9333333333333,61.2741724137931,7390.94090585803,23.8051502854772,1.69012325390255,13.0560893015254,63.0279781608372
"136","TM",40.8,91.8,65.0265862068966,18627.4425879913,17.7307775025844,19.0772094034718,47.5241071499997,32.8000363392303
"137","TN",38.1666666666667,43.3166666666667,73.5750689655172,28979.9126600177,10.5664627699478,16.4472354509504,27.1745143056113,53.0858727126071
"138","TO",37.6,29.5333333333333,69.8311034482759,14465.8939895822,20.0266930724572,6.70055894616486,16.1137778311257,51.0172211358008
"139","TR",40.7388888888889,18.4,71.5039310344828,59157.0511946488,10.2056136208066,18.4790494562285,27.9483129731705,52.6775622711126
"140","TT",40.3,31.9,70.5503103448276,47144.4667021409,1.32057456639201,17.662012560946,47.752955695944,49.9771181345967
"141","TZ",38.24,95.5,55.0483793103448,3775.56895877596,30.8229804476864,8.55490020637886,20.5576913832692,41.3257093640924
"142","UA",27.747619047619,18.1333333333333,69.0969638351556,24121.6049024833,12.1534474564474,18.8245493748997,31.054625314577,45.6347730698291
"143","UG",42.4375,92.05,51.7496206896552,4398.91307544365,31.6779085581329,10.2779811152708,20.8005165101388,40.7824797212603
"144","US",40.1666666666667,1.48888888888889,77.2696383515559,107786.852483204,1.10393339969972,12.8864267546722,20.4126697008452,74.9181436875076
"145","UY",42.8875,9.5,75.4295517241379,34882.5881489704,7.59261666953722,15.5473335484782,25.3251254882274,61.0446658900175
"146","UZ",37.275,93.975,68.4097586206896,10156.1760134532,28.5236601830627,13.7539075154521,25.5190929380047,35.7253093657445
"147","VN",36.0909090909091,62.6363636363636,73.536724137931,7658.35430102016,22.7978324715383,16.2632240153327,33.473063132436,40.2604331463051
"148","WS",40.4666666666667,35.4666666666667,69.8750689655172,21074.9467941536,12.967042488461,15.706289089005,23.429431356707,72.0849335657429
"149","ZA",61.7142857142857,63.7571428571429,59.0106551724138,41969.7584706918,2.93030415067792,15.7844477820469,28.8283420601715,58.8248778162227
"150","ZM",52.6888888888889,88.4777777777778,51.0391724137931,7211.27591951148,12.6331358448758,11.657336933615,32.3405241176333,45.917481582088
"151","ZW",43.75,77.65,50.8969655172414,6556.52255139019,13.4102641968752,14.9361575082139,25.5474456829074,54.4291989794712
